county,year,month,fatalities
Atlantic,2015,3,2
Atlantic,2015,4,1
Atlantic,2015,5,1
Atlantic,2015,7,3
Atlantic,2015,8,2
Atlantic,2015,9,7
Atlantic,2015,10,1
Atlantic,2015,11,4
Atlantic,2015,12,2
Atlantic,2016,1,2
Atlantic,2016,2,1
Atlantic,2016,3,1
Atlantic,2016,4,2
Atlantic,2016,5,4
Atlantic,2016,6,8
Atlantic,2016,7,6
Atlantic,2016,8,3
Atlantic,2016,10,6
Atlantic,2016,11,4
Atlantic,2016,12,3
Atlantic,2017,1,4
Atlantic,2017,2,2
Atlantic,2017,3,3
Atlantic,2017,4,4
Atlantic,2017,5,1
Atlantic,2017,6,4
Atlantic,2017,7,1
Atlantic,2017,8,2
Atlantic,2017,9,4
Atlantic,2017,10,4
Atlantic,2017,11,1
Atlantic,2017,12,6
Atlantic,2018,1,1
Atlantic,2018,2,1
Atlantic,2018,3,2
Atlantic,2018,4,2
Atlantic,2018,5,2
Atlantic,2018,6,1
Atlantic,2018,7,5
Atlantic,2018,8,2
Atlantic,2018,9,3
Atlantic,2018,10,6
Atlantic,2018,11,1
Atlantic,2018,12,4
Atlantic,2019,1,2
Atlantic,2019,2,5
Atlantic,2019,4,3
Atlantic,2019,5,3
Atlantic,2019,6,2
Atlantic,2019,7,6
Atlantic,2019,8,3
Atlantic,2019,9,4
Atlantic,2019,10,2
Atlantic,2019,11,1
Atlantic,2019,12,1
Atlantic,2020,1,1
Atlantic,2020,2,2
Atlantic,2020,3,2
Atlantic,2020,4,3
Atlantic,2020,5,2
Atlantic,2020,6,3
Atlantic,2020,7,12
Atlantic,2020,8,4
Atlantic,2020,9,4
Atlantic,2020,10,2
Atlantic,2020,11,3
Atlantic,2020,12,2
Atlantic,2021,1,5
Atlantic,2021,2,1
Atlantic,2021,3,1
Atlantic,2021,4,3
Atlantic,2021,5,2
Atlantic,2021,6,6
Atlantic,2021,7,7
Atlantic,2021,8,6
Atlantic,2021,9,6
Atlantic,2021,10,3
Atlantic,2021,11,5
Atlantic,2021,12,4
Atlantic,2022,1,4
Atlantic,2022,4,5
Atlantic,2022,5,2
Atlantic,2022,6,4
Atlantic,2022,7,5
Atlantic,2022,8,4
Atlantic,2022,9,5
Atlantic,2022,10,4
Atlantic,2022,11,1
Atlantic,2023,1,3
Atlantic,2023,2,1
Atlantic,2023,3,4
Atlantic,2023,4,2
Atlantic,2023,5,1
Atlantic,2023,6,5
Atlantic,2023,7,4
Atlantic,2023,8,9
Atlantic,2023,9,2
Atlantic,2023,10,2
Atlantic,2023,11,6
Atlantic,2023,12,1
Atlantic,2024,1,3
Atlantic,2024,2,4
Atlantic,2024,3,2
Atlantic,2024,4,6
Atlantic,2024,5,5
Atlantic,2024,6,8
Atlantic,2024,7,4
Atlantic,2024,8,2
Atlantic,2024,9,6
Atlantic,2024,10,6
Atlantic,2024,11,5
Atlantic,2024,12,5
Atlantic,2025,1,2
Atlantic,2025,2,4
Atlantic,2025,3,3
Atlantic,2025,4,3
Atlantic,2025,5,2
Atlantic,2025,6,2
Atlantic,2025,7,6
Atlantic,2025,8,3
Atlantic,2025,9,1
Atlantic,2025,10,2
Atlantic,2025,11,5
Atlantic,2025,12,2
Atlantic,2026,1,4
Atlantic,2026,2,3
Bergen,2008,2,3
Bergen,2008,3,1
Bergen,2008,4,1
Bergen,2008,5,2
Bergen,2008,6,3
Bergen,2008,7,1
Bergen,2008,8,4
Bergen,2008,9,1
Bergen,2008,10,3
Bergen,2008,11,4
Bergen,2009,1,1
Bergen,2009,3,3
Bergen,2009,4,2
Bergen,2009,6,3
Bergen,2009,7,2
Bergen,2009,8,5
Bergen,2009,9,3
Bergen,2009,11,1
Bergen,2009,12,6
Bergen,2010,1,3
Bergen,2010,2,2
Bergen,2010,3,1
Bergen,2010,4,7
Bergen,2010,5,3
Bergen,2010,6,4
Bergen,2010,7,4
Bergen,2010,9,3
Bergen,2010,10,3
Bergen,2010,11,2
Bergen,2010,12,5
Bergen,2011,1,4
Bergen,2011,2,2
Bergen,2011,3,1
Bergen,2011,4,1
Bergen,2011,5,1
Bergen,2011,6,3
Bergen,2011,7,2
Bergen,2011,8,3
Bergen,2011,9,1
Bergen,2011,10,6
Bergen,2011,11,6
Bergen,2011,12,1
Bergen,2012,1,7
Bergen,2012,2,3
