county,crashes,cyclist,driver,passenger,pedestrian
Atlantic,43,4,20,8,13
Bergen,48,1,26,3,13
Burlington,37,1,26,6,5
Camden,41,4,16,4,18
Cape May,5,0,3,1,2
Cumberland,18,0,10,3,5
Essex,45,2,18,3,24
Gloucester,30,1,19,6,4
Hudson,25,3,11,4,8
Hunterdon,4,0,3,0,2
Mercer,45,0,20,4,12
Middlesex,59,2,28,12,23
Monmouth,44,3,21,12,8
Morris,18,0,13,3,2
Ocean,43,1,24,6,14
Passaic,24,0,12,1,10
Salem,11,0,8,2,2
Somerset,18,0,11,3,5
Sussex,5,0,5,2,1
Union,24,2,8,3,12
Warren,10,2,6,1,2
